gene
CTSV (1515)
LMCD1 (29995)
GRHL2 (79977)
BMERB1 (89927)
TCL1A (8115)
TNNC1 (7134)
SLC6A15 (55117)
STRA6 (64220)
CMBL (134147)
IRF4 (3662)
CD82 (3732)
HSPG2 (3339)
TNFRSF14 (8764)
PRXL2A (84293)
ALCAM (214)
DNER (92737)
BMP7 (655)
TMC4 (147798)
APOBEC3B (9582)
RBM47 (54502)
BTK (695)
LOXL4 (84171)
ABLIM3 (22885)
MEF2C (4208)
DLC1 (10395)
FAM83H (286077)
SCARA3 (51435)
CALB1 (793)
LIMD2 (80774)
MSRB3 (253827)
CAMK2N1 (55450)
ENPP2 (5168)
HLA-DMB (3109)
SOX9 (6662)
B3GNT3 (10331)
PDGFRB (5159)
COL4A5 (1287)
SOX2 (6657)
FOLR1 (2348)
JAG2 (3714)
ARL4C (10123)
NFATC4 (4776)
PTPRF (5792)
XAF1 (54739)
SYT11 (23208)
POPDC3 (64208)
LHFPL6 (10186)
PKP2 (5318)
LRP1 (4035)
SYTL1 (84958)
PHGDH (26227)
LPAR1 (1902)
CA9 (768)
ACTG2 (72)
RAB13 (5872)
PALLD (23022)
WAS (7454)
IKZF1 (10320)
MYO5B (4645)
FAM114A1 (92689)
OAS2 (4939)
ITGA2 (3673)
HMOX1 (3162)
DNAJA4 (55466)
CALB2 (794)
CSF1 (1435)
C1orf116 (79098)
LTBP1 (4052)
WWC1 (23286)
SEMA3B (7869)
CASP4 (837)
LARP6 (55323)
ARHGAP30 (257106)
AIF1L (83543)
WNT5B (81029)
CPT1C (126129)
TGFBR2 (7048)
STING1 (340061)
VSIR (64115)
SPON2 (10417)
AGRN (375790)
ANGPTL2 (23452)
IFIT3 (3437)
LYPD6B (130576)
PPP1R14A (94274)
OASL (8638)
MUC13 (56667)
GSDME (1687)
EVPL (2125)
TMEM156 (80008)
TCEAL3 (85012)
GDA (9615)
TBX3 (6926)
PLEK (5341)
ARMCX1 (51309)
HLA-DMA (3108)
FOXA1 (3169)
CCN3 (4856)
SPN (6693)
MUC20 (200958)
PBX1 (5087)
CDH6 (1004)
SPOCD1 (90853)
HLA-C (3107)
ECHDC2 (55268)
A1BG (1)
BATF (10538)
CELF2 (10659)
TNFRSF21 (27242)
ZNF677 (342926)
MBP (4155)
FBLN2 (2199)
POU2AF1 (5450)
CPNE7 (27132)
SLC1A3 (6507)
GNA15 (2769)
EPS8L1 (54869)
ARHGAP15 (55843)
EFHD1 (80303)
TRO (7216)
CTSF (8722)
C12orf75 (387882)
SOX10 (6663)
IL1A (3552)
HMCN1 (83872)
TYRP1 (7306)
GLB1L2 (89944)
CHGB (1114)
PODXL (5420)
MYADM (91663)
CD248 (57124)
NOTCH3 (4854)
FLI1 (2313)
PDGFRA (5156)
TMEM45A (55076)
STAP2 (55620)
SORBS2 (8470)
LOXL3 (84695)
NR2F2 (7026)
C5orf38 (153571)
GNG4 (2786)
ARHGAP8 (23779)
CD99 (4267)
GCHFR (2644)
CLEC2B (9976)
NPDC1 (56654)
SH2D3A (10045)
CAPN2 (824)
PRDX2 (7001)
DENND1C (79958)
TP63 (8626)
PPP1R1B (84152)
PITX1 (5307)
SCEL (8796)
C6orf132 (647024)
KIFC3 (3801)
JAG1 (182)
RGL3 (57139)
ST6GAL1 (6480)
RNF128 (79589)
ETV4 (2118)
PROS1 (5627)
CHGA (1113)
ADAP1 (11033)
KRT4 (3851)
ENAH (55740)
CYTL1 (54360)
GPSM3 (63940)
MGST2 (4258)
SEMA3A (10371)
RHOH (399)
